Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P▼,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
257,Thomas Bryant\bryanth01,C,22,WAS,41,31,1000,209,351,.595,29,67,.433,180,284,.634,.637,73,100,.730,82,209,291,78,17,38,49,92,520
258,Jimmy Butler\butleji01,SF,30,MIA,56,56,1915,338,742,.456,29,117,.248,309,625,.494,.475,426,509,.837,102,268,370,343,97,31,122,78,1131
259,Kris Dunn\dunnkr01,PG,25,CHI,51,32,1269,152,342,.444,29,112,.259,123,230,.535,.487,40,54,.741,23,163,186,173,101,17,68,158,373
260,Jordan McLaughlin\mclaujo01,PG,23,MIN,30,2,590,87,178,.489,29,76,.382,58,102,.569,.570,26,39,.667,7,42,49,125,34,4,31,31,229
261,Daniel Theis\theisda01,C,27,BOS,61,60,1468,229,404,.567,29,88,.330,200,316,.633,.603,85,111,.766,135,264,399,103,36,79,53,213,572
262,Chris Boucher\bouchch01,PF,27,TOR,56,0,725,119,261,.456,28,100,.280,91,161,.565,.510,82,103,.796,94,148,242,23,20,53,23,104,348
263,Sekou Doumbouya\doumbse01,SF,19,DET,38,19,754,92,236,.390,28,98,.286,64,138,.464,.449,31,46,.674,20,98,118,19,20,8,35,80,243
264,Rodions Kurucs\kurucro01,PF,21,BRK,42,5,562,66,153,.431,28,77,.364,38,76,.500,.523,21,32,.656,20,90,110,41,19,3,39,78,181
265,Emmanuel Mudiay\mudiaem01,PG,23,UTA,51,1,790,141,301,.468,28,81,.346,113,220,.514,.515,57,75,.760,17,104,121,107,22,10,70,66,367
266,Raul Neto\netora01,PG,27,PHI,51,3,597,82,181,.453,28,72,.389,54,109,.495,.530,30,35,.857,11,44,55,81,23,5,44,48,222
267,Blake Griffin\griffbl01,PF,30,DET,18,18,512,88,250,.352,27,111,.243,61,139,.439,.406,76,98,.776,17,67,84,59,7,7,40,27,279
268,Brandon Goodwin\goodwbr01,PG,24,ATL,34,1,430,76,190,.400,26,87,.299,50,103,.485,.468,28,30,.933,11,61,72,51,12,4,29,43,206
269,Tyler Johnson\johnsty01,SG,27,TOT,34,5,590,71,199,.357,26,95,.274,45,104,.433,.422,34,42,.810,14,50,64,61,14,9,26,52,202
270,Trey Burke\burketr01,PG,27,TOT,28,0,395,74,154,.481,25,53,.472,49,101,.485,.562,16,22,.727,15,21,36,60,11,1,13,25,189
271,Quinn Cook\cookqu01,PG,26,LAL,40,0,412,76,173,.439,25,66,.379,51,107,.477,.512,6,9,.667,7,34,41,41,11,1,26,23,183
