Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P▼,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
287,Mario Hezonja\hezonma01,PF,24,POR,49,4,802,84,196,.429,22,67,.328,62,129,.481,.485,45,55,.818,28,140,168,44,33,9,40,97,235
288,Thon Maker\makerth01,C,22,DET,60,14,776,93,193,.482,22,64,.344,71,129,.550,.539,73,110,.664,54,113,167,43,25,39,45,102,281
289,Rodney McGruder\mcgruro01,SG,28,LAC,51,3,762,63,159,.396,22,80,.275,41,79,.519,.465,15,28,.536,26,105,131,30,23,8,21,67,163
290,Brandon Clarke\clarkbr01,PF,23,MEM,53,3,1168,270,433,.624,21,56,.375,249,377,.660,.648,80,102,.784,83,227,310,76,28,45,48,90,641
291,Matthew Dellavedova\dellama01,PG,29,CLE,57,4,821,62,175,.354,21,91,.231,41,84,.488,.414,32,37,.865,18,57,75,180,20,2,59,78,177
292,Carsen Edwards\edwarca01,SG,21,BOS,35,0,316,37,113,.327,21,68,.309,16,45,.356,.420,11,13,.846,6,37,43,22,10,3,15,33,106
293,Wesley Iwundu\iwundwe01,SF,25,ORL,47,18,836,80,199,.402,21,69,.304,59,130,.454,.455,62,76,.816,24,93,117,48,25,12,20,67,243
294,Courtney Lee\leeco01,SG,34,DAL,24,9,345,40,82,.488,21,47,.447,19,35,.543,.616,6,7,.857,7,25,32,12,18,6,11,33,107
295,Grant Williams\willigr01,PF,21,BOS,65,5,984,81,195,.415,21,87,.241,60,108,.556,.469,37,51,.725,58,108,166,62,29,34,47,153,220
296,Ryan Broekhoff\broekry01,SG,29,DAL,17,1,180,22,59,.373,20,51,.392,2,8,.250,.542,7,8,.875,5,38,43,11,5,4,6,15,71
297,Rui Hachimura\hachiru01,PF,21,WAS,44,44,1313,232,489,.474,20,74,.270,212,415,.511,.495,103,124,.831,69,198,267,81,36,8,49,97,587
298,Caleb Martin\martica02,SF,24,CHO,18,1,317,37,84,.440,20,37,.541,17,47,.362,.560,17,21,.810,10,28,38,23,12,7,15,32,111
299,Kyle Anderson\anderky01,PF,26,MEM,62,23,1211,143,301,.475,19,73,.260,124,228,.544,.507,47,71,.662,55,211,266,144,48,33,58,92,352
300,Dwayne Bacon\bacondw01,SG,24,CHO,39,11,687,85,244,.348,19,67,.284,66,177,.373,.387,35,53,.660,15,85,100,52,23,2,37,52,224
